Date,Hospital
7/15/23,7109
7/8/23,6444
7/1/23,6447
6/24/23,6294
6/17/23,6625
6/10/23,6909
6/3/23,7406
5/27/23,7789
5/20/23,8404
5/13/23,9300
5/6/23,9690
4/29/23,10162
4/22/23,11788
4/15/23,13225
4/8/23,14410
4/1/23,15773
3/25/23,17171
3/18/23,18134
3/11/23,20171
3/4/23,22340
2/25/23,24004
2/18/23,25426
2/11/23,26373
2/4/23,26451
1/28/23,28263
1/21/23,31600
1/14/23,37520
1/7/23,44410
12/31/22,44471
12/24/22,38990
12/17/22,36644
12/10/22,34932
12/3/22,33883
11/26/22,26461
11/19/22,24132
11/12/22,23803
11/5/22,23590
10/29/22,23311
10/22/22,22776
10/15/22,22887
10/8/22,23560
10/1/22,24293
9/24/22,26849
9/17/22,28916
9/10/22,31571
9/3/22,34546
8/27/22,36922
8/20/22,38152
8/13/22,41113
8/6/22,42813
7/30/22,44026
7/23/22,44728
7/16/22,42572
7/9/22,38865
7/2/22,35747
6/25/22,32756
6/18/22,30421
6/11/22,29495
6/4/22,28200
5/28/22,26471
5/21/22,24511
5/14/22,20706
5/7/22,17451
4/30/22,14460
4/23/22,12314
4/16/22,10740
4/9/22,9998
4/2/22,10206
3/26/22,11656
3/19/22,14068
3/12/22,18284
3/5/22,25201
2/26/22,34543
2/19/22,48873
2/12/22,69796
2/5/22,95080
1/29/22,123532
1/22/22,140550
1/15/22,150674
1/8/22,136105
1/1/22,97672
12/25/21,60932
12/18/21,54535
12/11/21,54929
12/4/21,49846
11/27/21,43277
11/20/21,40902
11/13/21,37482
11/6/21,35252
10/30/21,36647
10/23/21,39608
10/16/21,44271
10/9/21,48697
10/2/21,53938
9/25/21,62572
9/18/21,72545
9/11/21,80166
9/4/21,84235
8/28/21,85785
8/21/21,84035
8/14/21,77625
8/7/21,63486
7/31/21,47726
7/24/21,32850
7/17/21,22691
7/10/21,16800
7/3/21,14073
6/26/21,12821
6/19/21,13222
6/12/21,14599
6/5/21,16351
5/29/21,20062
5/22/21,22649
5/15/21,25870
5/8/21,30258
5/1/21,33641
4/24/21,37255
4/17/21,39377
4/10/21,38303
4/3/21,35538
3/27/21,33920
3/20/21,32482
3/13/21,33363
3/6/21,35502
2/27/21,41545
2/20/21,45884
2/13/21,56552
2/6/21,69668
1/30/21,81229
1/23/21,94726
1/16/21,107578
1/9/21,115480
1/2/21,109177
12/26/20,102581
12/19/20,102168
12/12/20,98724
12/5/20,93094
11/28/20,84052
11/21/20,79805
11/14/20,67973
11/7/20,53542
10/31/20,44660
10/24/20,39777
10/17/20,34853
10/10/20,31292
10/3/20,26094
9/26/20,23601
9/19/20,22982
9/12/20,24504
9/5/20,26475
8/29/20,28209
8/22/20,29431
8/15/20,29916
8/8/20,31647